rank,name,category,primary_domain,region,archetype,observed_site_structure,seo_keywords,traffic_sources,landing_page_pattern,conversion_path,product_tools,technical_architecture_inference,strategic_takeaway,source
86,Uber Freight,Supply Chain SaaS,uberfreight.com,USA,freight marketplace/TMS,"Shipper platform, carrier, TMS, managed transport, insights","freight marketplace, transportation management system","Direct app users, organic, paid/referrals",shipper/carrier split + platform CTA,"ship with us, carrier sign-up, demo","instant capacity, TMS, procurement tools",Marketplace app + SaaS,Two-sided marketplace SEO requires separate personas.,Official site/product research and analyst/category pages
87,GoComet,Supply Chain SaaS,gocomet.com,Singapore/India,freight procurement SaaS,"Freight procurement, tracking, invoices, workflows, reports","freight procurement software, shipment tracking software","Organic, direct, analyst/category pages",ROI calculators + product pages,book demo,"procurement automation, tracking, invoice audit","SaaS app, integrations",Procurement calculators can pull commercial leads.,Official site/product research and analyst/category pages
88,Shippeo,Supply Chain SaaS,shippeo.com,France,visibility SaaS,"Real-time visibility, multimodal tracking, ETA, carrier network","transport visibility, shipment tracking software","Organic, direct, European referrals",visibility category pages,book demo,"ETA, tracking, carrier network","SaaS platform, APIs",European visibility keywords are mature but high value.,Official site/product research and analyst/category pages
89,Transporeon,Supply Chain SaaS,transporeon.com,Germany,transport network SaaS,"Transportation management platform, procurement, visibility, dock scheduling","freight procurement, transport execution software","Organic, direct, network referrals",network platform + modules,request demo,"procurement, execution, dock scheduling",SaaS network,Modular product pages support many keyword intents.,Official site/product research and analyst/category pages
90,CargoWise / WiseTech Global,Supply Chain SaaS,wisetechglobal.com,Australia,logistics operating system,"CargoWise platform, customs, forwarding, warehouse, compliance","freight forwarding software, cargowise","Direct users, organic, partner ecosystem",platform ecosystem proof,request demo/contact,"forwarding OS, customs, warehouse, accounting",Enterprise logistics SaaS,Operating-system narrative is powerful for EASCargo AI ecosystem.,Official site/product research and analyst/category pages
91,Magaya,Supply Chain SaaS,magaya.com,USA,freight forwarding software,"Digital freight platform, WMS, customs, rate management","freight forwarding software, logistics management software","Organic, direct, partner referrals",SMB/midmarket software pages,request demo,"TMS, WMS, customs, rate management",SaaS platform,Forwarder software pages reveal internal ops pain points.,Official site/product research and analyst/category pages
92,Alpega,Supply Chain SaaS,alpegagroup.com,Europe,TMS/freight exchange,"TMS, freight exchanges, tendering, visibility","freight exchange, TMS software","Organic, direct, network traffic",network + SaaS modules,request demo/join network,"TMS, tendering, exchange",SaaS network,Exchange keywords are adjacent to rate pages.,Official site/product research and analyst/category pages
93,FarEye,Supply Chain SaaS,fareye.com,India/USA,last-mile/logistics SaaS,"Delivery management, route optimization, customer experience","delivery management software, route optimization","Organic, direct, analyst referrals",problem-led SaaS pages,book demo,"routing, delivery visibility, orchestration",SaaS platform,Route optimization pages can inspire calculator templates.,Official site/product research and analyst/category pages
94,Locus,Supply Chain SaaS,locus.sh,India/USA,logistics optimization SaaS,"Route optimization, dispatch, last-mile, fleet intelligence","route optimization software, logistics optimization","Organic, direct, content",ROI/value pages,book demo,"route optimizer, dispatch planning",SaaS platform,Optimization tools attract high-converting B2B traffic.,Official site/product research and analyst/category pages
95,Pando,Supply Chain SaaS,pando.ai,India/Global,freight management SaaS,"TMS, freight procurement, audit, visibility, control tower","freight management software, logistics control tower","Organic, direct",AI/automation product pages,request demo,"TMS, control tower, procurement",SaaS platform,Control-tower language pairs well with freight intelligence.,Official site/product research and analyst/category pages
96,Turvo,Supply Chain SaaS,turvo.com,USA,collaborative TMS,"TMS, collaboration, brokerage, shipper/carrier platform","collaborative TMS, freight management software","Organic, direct",SaaS product + persona pages,request demo,"TMS, real-time collaboration",SaaS app,"Persona pages map to shipper, carrier, forwarder journeys.",Official site/product research and analyst/category pages
97,FreightPOP,Supply Chain SaaS,freightpop.com,USA,shipping/TMS SaaS,"Rate shopping, shipping software, parcel/LTL/FTL, analytics","shipping software, freight rate shopping","Organic, direct, integrations",tool/ROI + product pages,"get demo, start trial","rate shopping, analytics, tracking","SaaS app, integrations",Rate-shopping tools are strong lead magnets.,Official site/product research and analyst/category pages
98,Infor Nexus,Supply Chain SaaS,infor.com,USA,supply chain network SaaS,"Supply chain network, visibility, finance, logistics","supply chain network, global trade platform","Organic, direct, enterprise referrals",enterprise suite pages,contact sales,"network visibility, trade finance",Enterprise SaaS,Network + finance content broadens logistics authority.,Official site/product research and analyst/category pages
99,E2open,Supply Chain SaaS,e2open.com,USA,connected supply chain SaaS,"Planning, logistics, global trade, channel, visibility","global trade management software, logistics visibility","Organic, direct, analyst referrals",suite + analyst proof,request demo,"GTM, TMS, visibility, planning",Enterprise SaaS,Global trade compliance should be its own content cluster.,Official site/product research and analyst/category pages
100,CargoAi,Supply Chain SaaS,cargoai.co,Singapore,air cargo booking SaaS,"Air cargo booking, rates, schedules, payment, APIs","air cargo booking, air freight rates platform","Organic, direct, airline/forwarder referrals",marketplace/product pages,"join platform, book demo","rates, schedules, booking, APIs","SaaS marketplace, APIs",Air cargo SaaS keyword set is directly relevant to EASCargo tools.,Official site/product research and analyst/category pages
